"","date_environment","cor","p","date","environment","planting_date","days_after_planting","plot_color"
"1","2017_early 2017-06-07",0.298748584973665,7.63655427128536e-07,2017-06-07,"2017_early",2017-05-05,33,"red"
"7","2017_early 2017-06-09",-0.121054158717397,0.0494379300345628,2017-06-09,"2017_early",2017-05-05,35,"red"
"8","2017_early 2017-06-12",-0.062530220080091,0.311458900563129,2017-06-12,"2017_early",2017-05-05,38,"red"
"9","2017_early 2017-06-14",-0.018182445002822,0.76871801363998,2017-06-14,"2017_early",2017-05-05,40,"red"
"10","2017_early 2017-06-16",0.128548059963332,0.0368505678394747,2017-06-16,"2017_early",2017-05-05,42,"red"
"11","2017_early 2017-06-19",0.190658234788514,0.00185998981655179,2017-06-19,"2017_early",2017-05-05,45,"red"
"12","2017_early 2017-06-21",0.375114451891051,3.02647357202126e-10,2017-06-21,"2017_early",2017-05-05,47,"red"
"13","2017_early 2017-06-23",0.465707580052139,1.28754455151828e-15,2017-06-23,"2017_early",2017-05-05,49,"red"
"14","2017_early 2017-06-26",0.206719116486076,0.000726375613262276,2017-06-26,"2017_early",2017-05-05,52,"red"
"2","2017_early 2017-06-30",0.233833317457017,0.000129572541095122,2017-06-30,"2017_early",2017-05-05,56,"red"
"3","2017_early 2017-07-03",0.295432685795214,1.02408590784507e-06,2017-07-03,"2017_early",2017-05-05,59,"red"
"4","2017_early 2017-07-05",0.283078716304059,2.95957783113813e-06,2017-07-05,"2017_early",2017-05-05,61,"red"
"5","2017_early 2017-07-07",0.176801401344329,0.00395426168771272,2017-07-07,"2017_early",2017-05-05,63,"red"
"6","2017_early 2017-07-10",0.0863234693237587,0.161948957635989,2017-07-10,"2017_early",2017-05-05,66,"red"
"20","2017_late 2017-06-21",0.162791228139176,0.00816613472501126,2017-06-21,"2017_late",2017-05-21,31,"green"
"21","2017_late 2017-06-23",0.161693390672427,0.00861299619076708,2017-06-23,"2017_late",2017-05-21,33,"green"
"22","2017_late 2017-06-26",0.0143414610579805,0.816939218289268,2017-06-26,"2017_late",2017-05-21,36,"green"
"15","2017_late 2017-06-30",0.333842539341678,2.8859926559575e-08,2017-06-30,"2017_late",2017-05-21,40,"green"
"16","2017_late 2017-07-03",0.340132408211674,1.51922979547855e-08,2017-07-03,"2017_late",2017-05-21,43,"green"
"17","2017_late 2017-07-05",0.351928450644286,4.38545772254065e-09,2017-07-05,"2017_late",2017-05-21,45,"green"
"18","2017_late 2017-07-07",0.150898902369247,0.0143032853213422,2017-07-07,"2017_late",2017-05-21,47,"green"
"19","2017_late 2017-07-10",0.235115912193677,0.000118664278986306,2017-07-10,"2017_late",2017-05-21,50,"green"
"23","2018 2018-06-13",-0.0108437955133575,0.854869260467445,2018-06-13,"2018",2018-05-07,37,"blue"
"24","2018 2018-06-15",-0.0568520186480507,0.336354796169903,2018-06-15,"2018",2018-05-07,39,"blue"
"25","2018 2018-06-20",0.309537211821783,8.21013481161555e-08,2018-06-20,"2018",2018-05-07,44,"blue"
"26","2018 2018-06-22",0.439978481034313,4.59258858612713e-15,2018-06-22,"2018",2018-05-07,46,"blue"
"27","2018 2018-06-25",0.496649556741203,2.41262354865107e-19,2018-06-25,"2018",2018-05-07,49,"blue"
